년도,지역,강도,살인,절도,폭력,강간강제추행,살인강간,강도절도폭력,범죄합계,10만명당범죄수,한국인,등록외국인,세대,인구합계,CCTV,10만명당CCTV수,단란주점,유흥주점,단란유흥
2014,강남구,37,13,3895,4394,512,525,8326,8851,1534,571509,5359,234324,576868,430,74,328,276,604
2014,강동구,10,5,2425,2804,148,153,5239,5392,1113,479586,4605,186239,484191,59,12,105,151,256
2014,강북구,21,6,1494,2320,189,195,3835,4030,1186,336363,3308,141139,339671,74,21,129,74,203
2014,강서구,9,8,2341,2717,214,222,5067,5289,907,576574,6331,230553,582906,230,39,169,114,283
2014,관악구,25,7,3029,3359,361,368,6413,6781,1270,515688,18120,248703,533809,487,91,100,228,328
2014,광진구,16,8,3167,2828,249,257,6011,6268,1651,365993,13493,159134,379486,87,22,89,19,108
2014,구로구,14,3,2377,2743,252,255,5134,5389,1179,427022,29736,172682,456758,187,40,100,40,140
2014,금천구,9,7,1552,2112,162,169,3673,3842,1488,239510,18669,104002,258180,101,39,84,60,144
2014,노원구,8,5,2404,2722,173,178,5134,5312,901,585599,3474,221580,589074,80,13,57,28,85
2014,도봉구,11,6,1350,1585,172,178,2946,3124,873,355829,2003,137382,357832,185,51,56,21,77
2014,동대문구,13,12,1809,2388,141,153,4210,4363,1161,363033,12447,159469,375481,1326,353,111,81,192
2014,동작구,9,2,1787,1868,203,205,3664,3869,918,409815,11382,173011,421197,503,119,53,52,105
2014,마포구,22,4,2763,2686,265,269,5471,5740,1464,382186,9766,167797,391952,70,17,95,65,160
2014,서대문구,4,3,1883,2119,185,188,4006,4194,1298,312672,10314,135297,322987,114,35,65,32,97
2014,서초구,14,6,2747,2506,285,291,5267,5558,1232,446394,4601,172259,450996,134,29,113,83,196
2014,성동구,5,1,1753,1682,141,142,3440,3582,1171,298195,7537,126393,305733,101,33,53,24,77
2014,성북구,16,8,2130,2287,165,173,4433,4606,958,471585,9077,195032,480663,241,50,72,8,80
2014,송파구,9,9,4199,3532,255,264,7740,8004,1184,668897,6899,258291,675796,21,3,180,96,276
2014,양천구,11,5,2058,2439,129,134,4508,4642,941,488766,4461,179604,493228,169,34,80,7,87
2014,영등포구,10,14,3080,3649,250,264,6739,7003,1658,384497,37696,168226,422194,217,51,277,186,463
2014,용산구,7,1,1560,2018,213,214,3585,3799,1515,237789,12815,108907,250604,107,42,121,35,156
2014,은평구,24,5,2352,2862,188,193,5238,5431,1075,500518,4567,202308,505085,343,67,141,83,224
2014,종로구,12,3,2272,2508,226,229,4792,5021,3017,158358,8031,73500,166389,132,79,136,224,360
2014,중구,13,6,2576,2415,221,227,5004,5231,3821,129091,7805,60214,136897,80,58,101,257,358
2014,중랑구,14,11,2390,2775,163,174,5179,5353,1264,418733,4551,176247,423284,770,181,104,26,130
2015,강남구,21,13,3850,4284,449,462,8155,8617,1480,576881,5325,237556,582206,976,167,313,269,582
2015,강동구,6,4,2366,2712,156,160,5084,5244,1117,464743,4703,182224,469446,203,43,103,147,250
2015,강북구,14,7,1434,2649,153,160,4097,4257,1265,332836,3478,141291,336314,219,65,129,71,200
2015,강서구,13,7,2096,3207,262,269,5316,5585,938,588640,6575,237488,595215,417,70,168,119,287
2015,관악구,12,9,2706,3298,320,329,6016,6345,1194,512096,19202,249467,531299,1096,206,94,218,312
2015,광진구,14,4,3026,2625,240,244,5665,5909,1570,361718,14520,158680,376238,151,40,87,17,104
2015,구로구,15,8,2335,3007,281,289,5357,5646,1236,424262,32262,172651,456525,455,99,97,33,130
2015,금천구,6,3,1567,2054,151,154,3627,3781,1467,237693,19976,104148,257670,483,187,80,57,137
2015,노원구,7,10,2193,2723,197,207,4923,5130,881,578109,3575,220327,581684,541,93,56,25,81
2015,도봉구,9,3,1063,1487,102,105,2559,2664,751,352574,1984,137115,354558,244,68,56,22,78
2015,동대문구,13,5,1981,2548,173,178,4542,4720,1258,361988,13069,160128,375057,1437,383,112,79,191
2015,동작구,9,5,1865,1910,285,290,3784,4074,977,404533,12054,171783,416588,633,151,50,51,101
2015,마포구,14,8,2555,2983,294,302,5552,5854,1465,388910,10580,171489,399490,247,61,88,56,144
2015,서대문구,5,2,1812,2056,154,156,3873,4029,1259,309029,10778,134546,319808,223,69,63,33,96
2015,서초구,9,8,2635,2399,393,401,5043,5444,1203,447679,4572,173092,452251,349,77,113,77,190
2015,성동구,9,4,1607,1612,126,130,3228,3358,1099,297324,7974,126674,305298,359,117,52,24,76
2015,성북구,5,5,1785,2209,150,155,3999,4154,878,462957,9895,192297,472852,520,109,70,8,78
2015,송파구,13,11,3239,3295,220,231,6547,6778,1010,663406,7175,257294,670581,187,27,184,103,287
2015,양천구,6,3,1890,2509,120,123,4405,4528,924,485489,4465,179464,489954,341,69,75,6,81
2015,영등포구,22,14,2964,3572,295,309,6558,6867,1633,380814,39556,168246,420370,583,138,269,179,448
2015,용산구,14,5,1557,2050,194,199,3621,3820,1533,234649,14422,107995,249072,209,83,118,33,151
2015,은평구,9,3,1914,2653,166,169,4576,4745,941,499150,4635,203249,503785,523,103,150,83,233
2015,종로구,11,6,2184,2293,211,217,4488,4705,2860,155708,8754,72905,164463,327,198,136,223,359
2015,중구,9,3,2548,2224,170,173,4781,4954,3666,126662,8442,59607,135105,325,240,95,252,347
2015,중랑구,11,13,2135,2847,187,200,4993,5193,1233,416402,4646,176692,421048,872,207,103,27,130
2016,강남구,39,5,3587,4002,516,521,7628,8149,1415,570512,5084,235329,575597,1741,302,301,255,556
2016,강동구,14,4,1754,2530,160,164,4298,4462,982,449541,4450,178384,453991,397,87,81,133,214
2016,강북구,5,7,1222,2778,217,224,4005,4229,1272,328780,3512,141171,332293,473,142,128,72,200
2016,강서구,10,9,1952,3204,275,284,5166,5450,909,592737,6607,242355,599344,607,101,165,117,282
2016,관악구,12,6,2103,3235,322,328,5350,5678,1074,509333,18947,251690,528280,1715,324,94,219,313
2016,광진구,11,4,2636,2392,279,283,5039,5322,1424,358838,14820,158497,373658,172,46,87,18,105
2016,구로구,10,9,1910,3164,273,282,5084,5366,1186,420183,32100,172614,452283,781,172,97,37,134
2016,금천구,7,6,1264,2193,175,181,3464,3645,1431,235208,19355,104085,254564,619,243,76,52,128
2016,노원구,6,5,1857,2516,159,164,4379,4543,789,571403,3670,220349,575074,839,145,56,25,81
2016,도봉구,5,3,866,1441,123,126,2312,2438,693,349543,2009,136831,351552,399,113,55,21,76
2016,동대문구,10,5,1940,2642,190,195,4592,4787,1287,357460,14398,159786,371859,1670,449,115,75,190
2016,동작구,7,8,1226,1661,325,333,2894,3227,780,401629,12060,172205,413689,887,214,49,48,97
2016,마포구,4,4,2527,2939,399,403,5470,5873,1488,383712,10766,170480,394478,606,153,85,64,149
2016,서대문구,5,6,1503,1976,175,181,3484,3665,1122,315288,11234,137140,326522,500,153,63,32,95
2016,서초구,13,5,2205,2338,428,433,4556,4989,1107,446278,4339,173282,450618,701,155,111,74,185
2016,성동구,3,4,1296,1619,104,108,2918,3026,989,297751,7937,127626,305689,560,183,49,23,72
2016,성북구,8,4,1470,2108,154,158,3586,3744,804,454821,10669,189758,465490,908,195,70,8,78
2016,송파구,15,9,2543,3289,234,243,5847,6090,917,656393,7073,256302,663467,287,43,181,107,288
2016,양천구,7,5,1719,2250,131,136,3976,4112,847,480941,4302,178491,485244,690,142,74,6,80
2016,영등포구,19,13,2341,3593,356,369,5953,6322,1532,375052,37358,167118,412411,872,211,262,173,435
2016,용산구,9,4,1489,2384,251,255,3882,4137,1678,231697,14715,107063,246412,298,120,115,30,145
2016,은평구,9,6,1666,2664,156,162,4339,4501,902,494371,4514,202541,498885,819,164,149,77,226
2016,종로구,12,6,1940,2263,238,244,4215,4459,2735,154009,9017,72666,163026,475,291,122,194,316
2016,중구,8,3,2150,2225,198,201,4383,4584,3411,125526,8844,59474,134370,595,442,97,250,347
2016,중랑구,14,8,1691,3164,164,172,4869,5041,1208,412558,4701,177114,417259,993,237,104,27,131
2017,강남구,20,7,3130,3956,607,614,7106,7720,1362,561497,4929,233311,566427,2318,409,287,233,520
2017,강동구,10,5,1645,2429,172,177,4084,4261,950,444212,4140,179095,448353,670,149,95,143,238
2017,강북구,7,8,1014,2156,208,216,3177,3393,1030,325820,3490,142062,329310,474,143,127,74,201
2017,강서구,4,11,1888,2916,316,327,4808,5135,846,600163,6518,251336,606681,871,143,168,133,301
2017,관악구,7,8,1979,3152,379,387,5138,5525,1055,505505,17783,254634,523288,2409,460,94,220,314
2017,광진구,13,6,2220,2146,261,267,4379,4646,1248,357477,14673,159804,372151,640,171,86,18,104
2017,구로구,8,7,1725,2827,328,335,4560,4895,1100,413818,30804,171938,444622,1321,297,97,33,130
2017,금천구,5,5,1141,1874,240,245,3020,3265,1284,235870,18362,105675,254232,818,321,78,53,131
2017,노원구,9,4,1538,2478,180,184,4025,4209,746,560295,3741,218876,564037,949,168,51,24,75
2017,도봉구,3,1,633,1258,104,105,1894,1999,575,345508,2031,137028,347539,516,148,55,23,78
2017,동대문구,3,11,1547,2249,165,176,3799,3975,1080,352442,15389,159908,367831,1806,490,114,75,189
2017,동작구,7,1,1226,1700,396,397,2933,3330,810,398628,12105,173117,410733,1165,283,51,49,100
2017,마포구,8,3,2094,2673,500,503,4775,5278,1360,376970,10975,169461,387945,978,252,84,64,148
2017,서대문구,1,4,1230,1676,202,206,2907,3113,954,314185,12085,137348,326270,915,280,66,30,96
2017,서초구,13,9,1812,2404,470,479,4229,4708,1051,443428,4277,173688,447706,948,211,111,72,183
2017,성동구,3,1,1072,1559,132,133,2634,2767,886,304279,7900,131914,312179,1493,478,42,23,65
2017,성북구,8,7,1344,1902,173,180,3254,3434,748,447097,11453,187886,458551,1193,260,69,8,77
2017,송파구,1,6,2274,3007,288,294,5282,5576,833,662012,6718,262069,668730,403,60,174,103,277
2017,양천구,3,3,1590,2148,138,141,3741,3882,813,473504,3931,176810,477435,827,173,73,5,78
2017,영등포구,5,15,2304,3190,455,470,5499,5969,1483,368653,33817,166450,402471,1243,308,256,171,427
2017,용산구,5,1,1346,2381,327,328,3732,4060,1663,229109,14884,106975,243993,358,146,106,30,136
2017,은평구,4,6,1387,2256,230,236,3647,3883,788,488158,4422,202267,492581,1048,212,138,77,215
2017,종로구,10,7,1644,2143,253,260,3797,4057,2476,154469,9340,73251,163809,756,461,135,220,355
2017,중구,9,1,1846,2061,267,268,3916,4184,3129,124830,8880,59847,133711,912,682,91,229,320
2017,중랑구,3,5,1533,2858,172,177,4394,4571,1103,409620,4534,178466,414155,1059,255,104,26,130
2018,강남구,14,10,3004,3885,600,610,6903,7513,1362,546637,4978,229509,551615,2766,501,266,211,477
2018,강동구,7,3,1515,2224,170,173,3746,3919,899,431263,4283,177483,435546,1055,242,91,133,224
2018,강북구,7,8,1112,2122,188,196,3241,3437,1056,321496,3694,143223,325191,793,243,126,74,200
2018,강서구,6,11,1724,2619,269,280,4349,4629,763,599329,6675,257165,606005,1125,185,171,133,304
2018,관악구,10,9,2012,2643,352,361,4665,5026,963,503601,17892,260460,521494,3080,590,93,212,305
2018,광진구,2,7,1769,1908,229,236,3679,3915,1055,355872,14941,161755,370813,986,265,86,18,104
2018,구로구,9,8,1717,2826,250,258,4552,4810,1094,406561,33044,172052,439605,1807,411,96,35,131
2018,금천구,7,6,1168,1912,200,206,3087,3293,1300,233544,19574,106846,253119,1348,532,73,51,124
2018,노원구,5,5,1422,2381,194,199,3808,4007,725,547982,4069,217804,552052,1105,200,49,23,72
2018,도봉구,5,1,781,1349,113,114,2135,2249,654,341269,2174,137756,343444,587,170,55,23,78
2018,동대문구,5,2,1447,2081,145,147,3533,3680,1008,349204,15777,161324,364982,2003,548,91,71,162
2018,동작구,7,3,1151,1651,288,291,2809,3100,760,395214,12610,175255,407825,1420,348,44,50,94
2018,마포구,6,6,2011,2676,473,479,4693,5172,1341,374654,10976,171208,385630,1173,304,82,63,145
2018,서대문구,3,5,1062,1526,206,211,2591,2802,866,311122,12305,138014,323427,1109,342,63,30,93
2018,서초구,5,5,1851,2395,470,475,4251,4726,1068,438039,4174,173830,442213,1344,303,110,67,177
2018,성동구,5,2,999,1325,126,128,2329,2457,777,308017,8052,136062,316069,1787,565,41,23,64
2018,성북구,1,7,1164,1687,183,190,2852,3042,674,439099,11648,186818,450748,1836,407,65,8,73
2018,송파구,6,5,2352,3135,309,314,5493,5807,862,666312,6749,268824,673061,799,118,161,99,260
2018,양천구,4,2,1384,2005,120,122,3393,3515,746,466669,3881,176472,470550,1657,352,73,5,78
2018,영등포구,8,17,2292,3132,391,408,5432,5840,1445,368621,35331,169835,403953,2036,504,208,159,367
2018,용산구,3,1,1096,1980,331,332,3079,3411,1391,229494,15714,108691,245208,431,175,108,29,137
2018,은평구,1,8,1278,2115,188,196,3394,3590,734,484289,4413,203982,488703,1415,289,137,82,219
2018,종로구,3,6,1483,1962,236,242,3448,3690,2256,153697,9809,73741,163507,857,524,130,210,340
2018,중구,11,2,1855,1955,207,209,3821,4030,2977,125913,9450,61182,135364,1240,916,92,233,325
2018,중랑구,3,4,1526,2581,174,178,4110,4288,1046,404985,4778,179961,409763,1068,260,103,24,127
